Q9Y6D9
Q96EA4
P30622
Q9NXR1
Q14008
Q99661
P49792
Q8N4N8
Q9Y266
Q9GZM8
Q13409
O14576
Q14204
Q9Y6G9
O43237
P63167
Q96FJ2
Q9NQS7
Q9BPU9
Q96BT3
Q03188
Q9BS16
Q92674
Q9H3R5
Q8N0S6
Q8N2Z9
Q9BU64
Q6IPU0
Q71F23
Q7L2Z9
Q13352
Q9NSP4
Q96H22
P49450
O15392
Q96GD4
Q53HL2
Q9BZD4
Q8NBT2
O14777
Q9HBM1
Q9H081
Q96IY1
Q9H410
Q6P1K2
Q8NG31
P50748
O43264
Q9H900
P52948
Q96EE3
P57740
Q8NFH3
Q12769
Q8NFH4
Q9BW27
Q8WUM0
P55735
Q12834
Q13257
O43684
O60566
P49454
Q96BD8
O14980
Q8WVK7
Q7Z460
O43683
Q5FBB7
P42677
Q8NI77
P30153
P30154
Q15173
Q13362
Q15172
Q14738
Q16537
P67775
P62714
O00139
Q9P258
Q02224
Q8WYP5
P36873
Q15691
Q562F6
O75122
P53350
P46060
O95229
P43034
Q7L7X3
Q2NKX8
Q9UJX3
Q9UJX4
Q8NHZ8
O00762
Q9NYG5
Q13042
Q9H1A4
P60006
Q96DE5
P51965
Q9UJX6
Q9UJX5
P30260
Q9UJX2
Q9UM13
P51668
O96017
Q9NWV8
Q9NXR7
P46736
Q96RL1
Q6UWZ7
Q99728
P38398
Q8N2W9
Q8IYW5
O95714
P63165
O76064
Q15819
P61088
P62805
Q8N257
Q99880
O60814
P33778
P06899
P62807
Q99877
P57053
P23527
Q16778
Q93079
P58876
Q96A08
Q99879
Q16695
P16104
P62987
P0CG48
P0CG47
P62979
Q13315
Q92993
O60934
P49959
Q92878
Q14676
O96028
Q12888
O75164
O94953
P63279
Q9UBT2
Q9UBE0
Q9Y3V2
Q96HI0
Q9P0U3
Q9HC62
O00167
Q99502
O95677
Q99504
P52292
O60264
Q9UIG0
Q92560
Q8WXE1
Q13535
P35250
O75943
P40937
P35249
P40938
Q9BSD3
Q92547
O60921
Q99638
Q6WBX8
O60671
Q9BX63
P51530
P54132
Q13472
Q96E14
Q9H9A7
Q14191
Q9UQ84
Q99708
P15927
P35244
P27694
P04637
P60510
Q9NY27
Q06609
P51587
O14757
Q9HAW4
Q9UNS1
Q9BVW5
P20248
P78396
P24941
Q8N6T7
P78317
P61956
O75626
Q9H4B4
Q96S44
O43741
Q9Y478
Q9UGJ0
P54619
Q9UGI9
Q13131
P54646
Q9BSI4
Q9NUX5
P54274
Q9NYB0
Q96AP0
Q15554
Q99878
Q6FI13
P04908
Q93077
Q16777
Q9BTM1
P20671
P0C0S5
Q71UI9
P0C5Y9
P28340
P49005
Q15054
Q9HCU8
P12004
P18858
P39748
P35251
P49642
P09884
Q14181
P49643
P56282
Q07864
Q9NRF9
Q9NR33
Q8NHY2
Q9UBU7
O00311
Q9UBD5
O43913
O43929
Q13416
Q9UJA3
Q9Y5N6
Q13415
Q99741
P25205
P33991
P33992
Q14566
P33993
P49736
