Q13882
P35555
Q14055
P02461
P45984
P13611
P0CG47
P36894
P0CG48
A6NMZ7
P46527
Q14765
P00740
Q8IZC6
P08709
Q99102
P29353
P78333
Q15465
Q86WV6
Q6W4X9
P34741
Q92769
O43493
P41279
P51884
Q17RW2
Q9UBT2
P20849
P00533
O14594
Q9H082
Q5TAT6
P39060
P51797
P08123
P16112
O15164
Q8WXI7
Q14676
Q17RY6
Q9UD71
A8TX70
Q9H195
P02452
O15111
P51617
Q05707
Q14623
Q6UVK1
P07585
P08151
Q16555
Q04721
Q02388
O15498
Q14050
O43318
Q93077
P53420
P12111
Q9P218
Q16778
Q9UMD9
Q15653
P42226
P21796
O95677
P34896
Q92934
Q8N158
P63165
P25940
O75385
O43653
O43561
Q13467
Q08999
Q10588
P27658
Q14031
P07225
Q15303
Q16695
Q9Y2X7
P12109
O75056
P13942
P15941
Q13618
Q9HC84
P51654
Q9UIW2
O75487
Q9UKN1
P08174
Q16270
Q71DI3
Q14993
P28749
Q16630
P68431
P39059
Q06828
Q02750
P0C0S8
Q9NP72
Q96P44
P12107
P42224
Q16620
P51888
P11362
P14784
Q9UHD2
Q86XR7
O15072
P08572
Q9UM11
P02458
P11488
Q96KK5
P52630
Q86UN2
Q86UN3
P98160
P43405
P12110
P61106
P36897
Q6UWZ7
P31751
P56706
Q8TE59
Q96GW7
P56703
P62979
O75531
P01308
P15391
P10070
P20963
P29320
P29474
P16671
Q9Y6F9
P04637
Q8WV24
P05997
P62072
Q9H3R2
Q7Z5P9
P20671
Q15843
Q92481
P35052
Q13224
Q01955
Q99983
O94953
P22607
P62491
P05198
O75888
P06239
P46531
P51812
P20908
P04908
P84243
Q7L7L0
P16104
O14492
Q07092
Q9UQM7
Q2UY09
Q9Y5L4
Q9Y243
Q9Y3M2
Q6UWN5
O43521
Q9BXS0
O96014
Q76LX8
P25067
Q5QNW6
P52948
Q7RTW8
Q8IYD8
Q9ULW5
P05060
P78527
Q9UQC2
P07237
P21810
Q7Z494
Q6PEY2
Q6ZMP0
Q14457
Q86TI0
Q9Y2T1
Q96DR8
P08842
P63279
O60493
Q13177
Q86XD5
O95196
Q13761
Q5VWK5
P01034
P32927
P02462
Q00987
Q8NFW1
P56705
O43524
Q6YHK3
P24821
Q9HCM3
Q16526
Q9Y6F6
P21802
Q14289
Q96GX5
O75173
Q14982
P06748
O15516
Q13490
P40429
P07203
Q9NR19
P08582
P20774
P49407
Q05397
P23527
Q9UBU3
Q93079
P60484
P69905
Q96A83
Q8N3U4
Q9UK32
P09603
Q8N4Z0
P30291
Q8TE58
P35222
Q9UM47
P0C0L5
Q03692
Q86UP2
Q9GZT5
Q16513
O95185
Q86Y22
P60604
O00763
Q9UPP1
Q9UBE8
Q99466
P53350
Q8N2G4
O00459
Q9HCB6
P21359
Q9H0T7
P00738
P60880
Q6IQ22
P02818
O43559
P29966
P35968
Q7Z6M1
Q99715
Q5SSG8
P62987
Q13748
P16885
P08100
P54840
P15328
P29400
P29317
Q71U36
P09874
O75581
P04049
P31431
Q99704
Q16665
P49840
P06737
Q96B36
Q5JTJ3
P15056
Q13950
Q16512
O94905
P56817
P42229
Q6H3X3
Q9NP70
Q8IV16
Q717R9
P05161
P31152
O00255
Q9C0C7
Q9HB75
P22681
O60353
Q9UBV4
Q99878
Q13085
O00194
P30307
P05186
O14965
Q9Y253
Q96PU8
P27918
P01892
P33778
Q96QV6
P37840
O60260
Q9Y4K3
P35270
O00401
P13569
Q13114
Q13362
P10071
P40763
Q496H8
O00186
O14757
P26651
Q15796
Q49AN0
P18615
Q96DA2
Q8N2W9
P40855
Q15759
P38398
Q96CW9
O00391
Q8N387
Q99880
Q8N0Z6
O75164
Q13636
P06213
P01042
Q9Y277
P61088
P10398
Q9H4B6
P24941
Q04759
Q15768
Q14103
Q99879
P56211
P23458
O43323
Q8N4F0
Q93098
Q9Y6N5
A6NHL2
P11274
P19823
Q14194
P13807
Q14164
Q99640
P52701
Q96B97
Q969Q5
P00734
Q96EG1
P12931
P04628
P04792
O60938
P04626
Q8TAX7
P21953
P24844
P20339
P0DP23
Q96AX2
Q99757
P42681
P62805
Q9BYX4
P06899
P18827
Q8IUE6
P06746
P59510
P14735
Q6FI13
P09429
O75015
O00468
P50548
P11388
P54132
O94772
P68371
P56704
Q96S21
P06493
Q13153
P49137
P55259
Q8TE57
Q99996
O43768
Q05655
P42262
Q07666
Q13885
O14531
