"""protein""","""pathwayCount"""
"""Q9HB21""",5
"""Q15116""",4
"""Q9Y6J0""",5
"""O95259""",3
"""O96015""",5
"""O96009""",2
"""P21266""",4
"""O15547""",4
"""Q8NF37""",11
"""P06731""",5
"""A4D2G3""",5
"""P31645""",4
"""Q8NEG7""",4
"""P20916""",8
"""Q9NSD9""",4
"""Q9P2J9""",5
"""P02746""",7
"""Q9BYG0""",4
"""Q9UD71""",6
"""O95760""",14
"""Q8WWA0""",3
"""Q13164""",42
"""O76064""",12
"""Q9BQQ3""",14
"""Q92604""",5
"""P11766""",4
"""P51800""",3
"""P05106""",38
"""Q9BT09""",4
"""P51790""",3
"""P14735""",5
"""Q96CJ1""",5
"""Q03154""",3
"""P14927""",4
"""P09601""",5
"""Q9H672""",7
"""O00481""",3
"""Q9H8M9""",4
"""P35240""",8
"""P42785""",6
"""Q9Y2D2""",4
"""P08236""",10
"""P35900""",2
"""P04179""",6
"""P29350""",33
"""Q96RT8""",9
"""Q9UIQ6""",8
"""Q96RI8""",7
"""P18621""",19
"""Q14393""",13
"""Q99542""",2
"""Q8WVJ9""",4
"""Q8TBP0""",4
"""P30499""",7
"""P18615""",25
"""Q16690""",6
"""P07996""",15
"""P62424""",19
"""Q5VST9""",10
"""Q99728""",30
"""Q8WV28""",8
"""P63092""",23
"""Q9UNS2""",13
"""Q15329""",16
"""P62304""",14
"""Q8NH41""",5
"""Q8NGS1""",5
"""Q9UPQ8""",6
"""Q8IWT3""",3
"""Q9GZT4""",4
"""P27635""",19
"""P10600""",8
"""P51679""",8
"""O60304""",3
"""Q99578""",6
"""P60709""",33
"""P54819""",3
"""Q8N2C7""",3
"""Q99437""",11
"""P49019""",7
"""Q92922""",8
"""Q6PK81""",3
"""Q16558""",7
"""Q8NGI6""",5
"""Q9NRF2""",7
"""O14641""",19
"""P98177""",12
"""P85037""",4
"""A8MTZ0""",4
"""P09960""",16
"""Q92823""",6
"""Q9BZF3""",5
"""Q9BYX2""",4
"""Q92817""",3
"""P0DML2""",3
"""Q03181""",15
"""P23458""",38
"""A6NGY5""",5
"""Q9BS16""",19
"""Q96RM1""",3
"""O94822""",4
"""P08263""",4
"""Q6IQ26""",4
"""P31639""",3
"""Q5TCM9""",3
"""Q9NQ86""",4
"""Q9UL45""",5
"""Q587J7""",3
"""Q96QV1""",4
"""Q96QK1""",3
"""O95868""",3
"""Q96JW4""",4
"""P22307""",14
"""Q8TE23""",6
"""Q8WTS1""",4
"""Q0VG06""",2
"""Q496H8""",3
"""P41217""",3
"""Q96IU4""",4
"""Q9H156""",3
"""Q8WW27""",4
"""P55082""",3
"""Q13017""",3
"""Q16762""",5
"""Q9UQ49""",10
"""Q8NBK3""",8
"""P07954""",4
"""Q9Y2L5""",4
"""Q5K4L6""",5
"""Q0VDF9""",4
"""Q6P9F7""",2
"""Q9Y265""",23
"""P19397""",3
"""Q16798""",4
"""Q99536""",3
"""P49888""",4
"""Q9BV40""",11
"""P80365""",5
"""O00308""",8
"""P19256""",5
"""Q92990""",4
"""P22001""",3
"""O60882""",5
"""Q969Q1""",4
"""Q969F1""",6
"""Q9NRM0""",3
"""O60741""",3
"""O60762""",7
"""Q9NS84""",5
"""P33240""",13
"""O43462""",12
"""P20396""",7
"""P62841""",23
"""O15427""",11
"""Q6WCQ1""",4
"""Q9NYW6""",6
"""P0CB33""",3
"""P11277""",17
"""P05387""",19
"""A8MUZ8""",3
"""Q12981""",5
"""Q96SL4""",3
"""Q96SA4""",4
"""O75881""",11
"""P48551""",5
"""Q9UBI1""",6
"""O75386""",3
"""Q00887""",2
"""P62736""",2
"""O00512""",4
"""P51815""",3
"""Q03721""",3
"""P39900""",3
"""Q12996""",11
"""Q04695""",2
"""P01721""",23
"""Q8NBT2""",16
"""P55809""",4
"""O15121""",7
"""Q9H0B8""",3
"""Q76LX8""",4
"""Q9H6H4""",5
"""Q9Y3A4""",4
"""Q9Y478""",18
"""O94779""",3
"""Q0VD83""",4
"""Q8N3U4""",24
"""Q8NGU2""",5
"""P52429""",7
"""O60294""",4
"""Q9NTN3""",9
"""Q8N9A8""",6
"""P00746""",10
"""O60840""",4
"""P21860""",24
"""P49675""",5
"""Q9NYZ3""",7
"""Q01082""",19
"""Q01955""",13
"""P04440""",10
"""P62253""",8
"""Q9NQZ2""",4
"""Q9BUQ8""",5
"""P30874""",7
"""Q9ULV1""",16
"""Q8TBF5""",4
"""Q13950""",11
"""Q9UL51""",3
"""P14324""",4
"""Q9NSB8""",3
"""Q8WXK3""",7
"""Q9H2C2""",4
"""Q13263""",3
"""Q96MM6""",4
"""Q9BZG8""",4
"""Q9H1J1""",3
"""P55212""",6
"""Q9BYD3""",6
"""Q6Y1H2""",5
"""Q96LI5""",9
"""P56945""",15
"""P35504""",4
"""P25089""",8
"""P62829""",19
"""Q86TU7""",3
"""P61278""",7
"""A6NGB9""",8
"""Q15413""",6
"""Q9H6X2""",4
"""O00574""",8
"""Q8NE65""",3
"""Q9Y697""",5
"""Q07955""",12
"""Q13158""",27
"""Q7Z553""",3
"""P01133""",46
"""P01814""",23
"""P43628""",3
"""Q96S37""",5
"""Q8IZN7""",5
"""P17844""",8
"""Q8N371""",3
"""P29323""",5
"""Q8IZC7""",3
"""O14980""",41
"""O95628""",9
"""Q9BXI2""",4
"""Q15428""",4
"""Q9BQ51""",4
"""O14974""",12
"""Q9NV96""",3
"""P01709""",23
"""P15382""",4
"""O43768""",5
"""P20594""",3
"""O43633""",12
"""P23677""",3
"""Q92901""",19
"""Q6FIF0""",2
"""Q8NES3""",4
"""P04839""",18
"""Q9NZ71""",7
"""Q5TEC3""",3
"""Q93074""",5
"""Q9UNA4""",5
"""Q9NYK1""",9
"""Q9NRY5""",4
"""Q8NGF9""",5
"""Q9NTX7""",12
"""Q969G6""",4
"""P00533""",54
"""P51617""",42
"""P33261""",11
"""P09211""",10
"""Q6ZNI0""",4
"""Q96AV8""",6
"""Q9P255""",3
"""Q13362""",44
"""P40197""",7
"""Q9BZZ2""",3
"""Q96GD4""",25
"""Q13356""",3
"""P61201""",13
"""A0A075B6P5""",23
"""Q30KQ5""",5
"""P30988""",7
"""P41597""",13
"""P24001""",4
"""Q5NV90""",20
"""P07492""",7
"""Q9UK73""",3
"""P53602""",10
"""P47712""",34
"""Q6ZMH5""",6
"""Q8WVV5""",3
"""Q9Y490""",28
"""Q8N5D0""",3
"""Q9H6T0""",5
"""Q7Z460""",32
"""O95847""",6
"""Q9H063""",5
"""Q9Y5T5""",4
"""Q9H936""",4
"""P29536""",2
"""O43291""",5
"""Q96JJ3""",11
"""P48431""",8
"""P37837""",5
"""Q8WU20""",58
"""Q6NUS6""",3
"""Q14657""",3
"""Q9NWZ5""",4
"""P30490""",7
"""Q9NPF4""",3
"""P01601""",23
"""Q9Y3M9""",3
"""P02461""",7
"""Q9Y2J4""",2
"""O43681""",4
"""O43660""",4
"""P49795""",6
"""O60486""",4
"""P01591""",2
"""Q8NGJ2""",5
"""P22891""",6
"""Q8TCT1""",6
"""Q6P2E9""",3
"""P04731""",3
"""Q86XM0""",3
"""Q8NH56""",5
"""P10636""",5
"""Q92619""",6
"""Q5VXJ0""",3
"""Q96B01""",9
"""O15511""",16
"""P22090""",23
"""Q96A70""",4
"""Q9HCJ1""",2
"""Q6UXL0""",4
"""P12111""",12
"""Q969N4""",7
"""P07195""",4
"""Q6UXV4""",4
"""P51685""",8
"""O43555""",7
"""P03897""",5
"""P52435""",60
"""P05981""",5
"""P0DP74""",5
"""P04626""",30
"""P62820""",20
"""Q6VAB6""",13
"""Q9BSY4""",2
"""Q9HA64""",3
"""Q9HBI6""",11
"""P07585""",11
"""Q9Y5Y3""",4
"""Q9UMR7""",4
"""Q9UN37""",9
"""Q9H963""",3
"""Q9Y5L2""",3
"""Q14690""",4
"""P16615""",10
"""Q8WXA8""",3
"""Q15554""",4
"""O95067""",19
"""O75173""",6
"""Q30KP9""",5
"""Q07325""",8
"""Q8IV08""",9
"""P80188""",7
"""Q5NV84""",20
"""O95139""",5
"""P58549""",6
"""P10153""",3
"""P37108""",6
"""P57679""",4
"""Q9NP31""",4
"""Q70CQ1""",4
"""P35348""",9
"""P01700""",23
"""Q9Y271""",8
"""Q8N392""",3
"""P01034""",7
"""Q8N2K1""",8
"""Q06278""",4
"""C9JJH3""",4
"""P10720""",4
"""P01189""",23
"""Q92526""",9
"""Q96IV0""",4
"""P41223""",4
"""Q8TDS4""",7
"""Q8NGF0""",5
"""Q8NGP4""",5
"""P30484""",7
"""P14543""",3
"""P21953""",4
"""P26022""",3
"""P12318""",7
"""P01699""",23
"""P51784""",7
"""Q00534""",16
"""Q5T8D3""",4
"""Q8N8S7""",7
"""Q9H3L0""",4
"""O75027""",3
"""Q3MUY2""",4
"""O95271""",16
"""Q8TE59""",4
"""Q86W92""",3
"""Q86VX2""",3
"""Q99677""",8
"""Q9BW27""",69
"""Q6KC79""",5
"""Q86YB8""",3
"""P35228""",8
"""Q9C026""",4
"""Q96HJ5""",3
"""P58753""",12
"""Q9HB63""",5
"""P50747""",4
"""Q96AX9""",21
"""P13688""",7
"""Q96I59""",4
"""Q95365""",9
"""Q8IVA1""",4
"""Q8IV61""",9
"""Q9ULH4""",3
"""Q9UKR0""",3
"""O75417""",4
"""O95967""",3
"""Q8WXI2""",13
"""Q13242""",11
"""Q9Y6A1""",3
"""Q07352""",3
"""O95832""",4
"""Q15653""",32
"""Q9Y661""",5
"""O75578""",8
"""Q8WXH6""",3
"""O95166""",6
"""Q96FL8""",3
"""P17568""",5
"""P19652""",7
"""Q92730""",7
"""P46977""",3
"""P19838""",58
"""Q8NET8""",4
"""Q6ZMG9""",4
"""Q9Y484""",2
"""Q9Y676""",6
"""P84095""",14
"""P27338""",5
"""Q9UKG9""",7
"""Q99755""",10
"""P47888""",5
"""Q9Y5K6""",2
"""Q9NY72""",7
"""P01112""",112
"""O95727""",3
"""P56747""",4
"""Q9NQW5""",3
"""P55196""",4
"""O43852""",8
"""P01106""",20
"""A6NNF4""",3
"""Q9BY31""",3
"""A0AVT1""",8
"""Q6PI98""",8
"""Q8NBJ7""",8
"""P05783""",2
"""P50150""",54
"""Q6NZ36""",2
"""O75600""",3
"""Q10471""",9
"""Q31610""",7
"""P20718""",4
"""Q12882""",4
"""Q9BVI4""",4
"""P50336""",3
"""P29371""",8
"""Q9UBW7""",6
"""P52747""",7
"""P41145""",7
"""Q9H765""",7
"""O43747""",16
"""P04746""",3
"""Q9BUR4""",9
"""Q9UI33""",7
"""Q9BX26""",4
"""P04632""",8
"""Q6ISS4""",3
"""Q86YT6""",17
"""O00221""",5
"""P04818""",3
"""Q969P5""",7
"""Q16570""",5
"""Q9GZV5""",13
"""P51571""",3
"""Q9UGB7""",3
"""Q96P88""",7
"""Q9H4B4""",8
"""Q9UG56""",5
"""P09486""",9
"""P17787""",10
"""P29074""",4
"""Q13449""",3
"""P20340""",15
"""O95379""",4
"""Q96GW7""",11
"""Q15746""",6
"""O95925""",3
"""Q14195""",4
"""O43561""",17
"""Q96GA7""",3
"""Q08170""",11
"""O00116""",6
"""Q8NE71""",2
"""Q8NDV1""",9
"""P43004""",9
"""O14662""",5
"""Q8NG57""",22
"""Q6PIU1""",3
"""Q5TCZ1""",2
"""Q8ND30""",3
"""Q8NCR0""",3
"""O14656""",4
"""Q6P4R8""",8
"""Q9NQ92""",3
"""Q9Y6J9""",3
"""Q7L9L4""",2
"""Q29980""",3
"""P56159""",9
"""P14210""",32
"""Q16288""",3
"""Q92838""",4
"""P55289""",4
"""O43264""",21
"""P56705""",10
"""Q29974""",10
"""P10912""",3
"""P05013""",5
"""O15235""",6
"""P06746""",13
"""P01715""",23
"""O15229""",4
"""Q8NBQ5""",5
"""Q9NPD3""",7
"""Q9UIA0""",4
"""Q10570""",16
"""P01876""",2
"""P16444""",7
"""Q9NP87""",3
"""Q92547""",19
"""Q8WUA2""",4
"""P35354""",16
"""Q8TD30""",3
"""Q6P2C8""",5
"""P41238""",4
"""Q96BD0""",4
"""Q496J9""",7
"""O43159""",4
"""Q8NGR5""",5
"""Q9UBS5""",17
"""P0CG37""",3
"""Q3MJ16""",9
"""Q9HD40""",4
"""P38484""",5
"""Q8IYB3""",11
"""P51809""",13
"""P07205""",5
"""Q7LFX5""",5
"""P32119""",11
"""Q05940""",10
"""Q9HD34""",2
"""P46098""",3
"""P07288""",2
"""P46779""",19
"""Q9UGJ1""",9
"""Q9UNF1""",4
"""Q13554""",30
"""Q30167""",10
"""Q30KR1""",5
"""P54753""",4
"""P01579""",5
"""P21359""",5
"""Q14112""",2
"""Q9Y286""",3
"""P23443""",3
"""P35249""",52
"""P62913""",19
"""P16219""",7
"""Q14954""",3
"""P26718""",6
"""O00329""",28
"""P0DJI8""",42
"""Q16678""",10
"""Q8TBE9""",6
"""Q9H9J2""",6
"""P28328""",5
"""Q9H2X6""",8
"""Q9NZD2""",4
"""Q9HC29""",33
"""P48764""",4
"""Q8NGG5""",5
"""Q9Y6B6""",18
"""P78382""",10
"""Q9Y5J1""",4
"""Q13257""",26
"""O60783""",6
"""Q9NRD1""",10
"""Q9H255""",5
"""P53778""",10
"""Q6NUI2""",7
"""P40692""",4
"""Q08117""",4
"""P22532""",3
"""P21854""",4
"""Q7L3B6""",4
"""Q5VVJ2""",4
"""Q9BZD2""",4
"""P05112""",4
"""O14578""",4
"""Q09028""",38
"""Q6UWZ7""",16
"""P32302""",8
"""P01127""",21
"""O60678""",6
"""P02647""",34
"""P52732""",8
"""Q9UBV2""",18
"""P68106""",6
"""P02533""",2
"""O43924""",4
"""Q9UBK2""",12
"""Q8TEH3""",4
"""P16402""",10
"""P10828""",4
"""Q96SR6""",3
"""Q01658""",3
"""P61086""",8
"""P62310""",6
"""Q9UPT5""",4
"""Q9UIK4""",4
"""B2RTY4""",3
"""Q9UJ68""",2
"""O75807""",5
"""P31327""",4
"""P09471""",15
"""Q7Z3V5""",3
"""P22792""",4
"""Q5JTC6""",6
"""Q9H5I1""",3
"""Q9Y385""",4
"""Q53ZZ1""",4
"""Q12756""",8
"""Q09160""",7
"""P42566""",14
"""Q9HC62""",5
"""Q6IS24""",4
"""Q8NH02""",5
"""P41180""",7
"""P0CG04""",23
"""P03891""",5
"""P06401""",7
"""P08620""",68
"""P21941""",2
"""O60921""",20
"""P54840""",4
"""O60234""",3
"""Q92529""",12
"""O43615""",2
"""Q49B96""",2
"""Q8TDF6""",8
"""Q9BVC4""",34
"""P60604""",8
"""Q13490""",29
"""P43304""",7
"""P53355""",4
"""Q8IWL3""",4
"""Q14240""",17
"""Q9UP38""",10
"""P53985""",11
"""P30154""",94
"""P51460""",8
"""P07099""",3
"""Q9UM11""",24
"""O75494""",4
"""P13535""",2
"""Q9H477""",3
"""Q969J5""",4
"""P17676""",4
"""Q8WYH8""",9
"""P15259""",5
"""P17535""",4
"""Q8WWY3""",4
"""Q6ZMR3""",4
"""O95013""",5
"""Q9UM47""",13
"""P62879""",54
"""Q8IUR7""",3
"""Q9Y3V2""",5
"""Q9Y6K8""",3
"""Q3SY69""",4
"""P09936""",4
"""Q9Y3I1""",7
"""O60765""",3
"""Q9NPC1""",8
"""P01100""",40
"""Q15323""",2
"""Q29983""",3
"""Q13889""",48
"""Q16864""",11
"""P55157""",5
"""P10915""",2
"""O43324""",8
"""O43345""",3
"""Q9BQG2""",5
"""Q6P4A8""",8
"""O14920""",60
"""Q92888""",10
"""Q9BX82""",3
"""Q9NWB7""",3
"""Q3I5F7""",5
"""O60333""",8
"""O94804""",3
"""Q96RU7""",21
"""Q09328""",6
"""P16519""",3
"""Q86XK2""",7
"""Q99551""",3
"""O75083""",4
"""P60022""",5
"""Q02318""",12
"""P54132""",27
"""Q9BTX1""",56
"""O14929""",3
"""Q9BW83""",3
"""P43403""",5
"""Q96CV9""",9
"""Q969X2""",6
"""Q969M2""",3
"""P30559""",8
"""Q8IZU8""",5
"""P07864""",4
"""P14618""",7
"""Q9P2P5""",4
"""P47211""",7
"""O75593""",5
"""Q12879""",16
"""P51553""",6
"""Q9H3S1""",4
"""P40938""",52
"""P58012""",5
"""Q9H3H1""",4
"""O75452""",9
"""Q86X67""",3
"""Q9H3R5""",19
"""Q3ZCX4""",3
"""Q14162""",3
"""Q96NG5""",3
"""P16083""",3
"""P62136""",15
"""P57772""",4
"""Q8IWV7""",4
"""P25929""",7
"""Q8IVS2""",4
"""P83436""",11
"""O75962""",15
"""Q9Y5W5""",4
"""O15514""",60
"""P47897""",9
"""P34949""",6
"""Q8NEZ4""",8
"""Q9NZI2""",3
"""Q9H0S4""",4
"""Q8WY07""",4
"""P01282""",7
"""P28066""",9
"""Q9BZE1""",6
"""Q92805""",4
"""P49366""",4
"""Q5NV66""",20
"""P23467""",3
"""Q16822""",4
"""Q9NXX6""",5
"""P04437""",10
"""Q96EL3""",6
"""Q07817""",9
"""O43933""",2
"""O43927""",8
"""Q4KMG0""",7
"""P14207""",7
"""P35321""",3
"""Q9BYD6""",6
"""P60891""",4
"""P31150""",7
"""Q8NGD2""",5
"""Q96C86""",3
"""Q8IYJ0""",3
"""O00391""",11
"""Q02386""",3
"""P26010""",5
"""P30466""",7
"""Q02080""",3
"""P07942""",17
"""P51580""",4
"""P25311""",2
"""Q9NTJ4""",3
"""P50225""",4
"""P62495""",7
"""Q05901""",9
"""Q30134""",10
"""Q9UHI7""",4
"""P17661""",2
"""Q9UGQ2""",3
"""P42575""",15
"""P35030""",6
"""O75665""",16
"""Q96PS8""",3
"""Q96G61""",3
"""O95445""",9
"""Q12837""",6
"""Q15620""",5
"""Q9HAT1""",9
"""P18405""",5
"""Q86Y39""",5
"""P54105""",3
"""Q15125""",6
"""Q8IVU3""",4
"""P82650""",6
"""Q15119""",8
"""Q96A46""",2
"""Q9HCG7""",4
"""Q9HCE6""",10
"""Q16531""",15
"""Q8NER1""",4
"""Q9H9S4""",3
"""Q9UL12""",3
"""Q13224""",20
"""Q08881""",7
"""O95154""",3
"""O95835""",2
"""P48065""",15
"""Q9P2J3""",7
"""Q14765""",6
"""P49585""",5
"""P48059""",4
"""Q56NI9""",4
"""Q7LDG7""",16
"""P01375""",10
"""P04350""",25
"""P69905""",7
"""P57739""",4
"""Q9NYV4""",5
"""O43516""",8
"""Q01064""",18
"""P01891""",7
"""Q9BSD3""",19
"""Q8NDQ6""",3
"""P14921""",4
"""P84077""",32
"""Q5TB80""",3
"""Q9NP81""",4
"""Q7Z628""",10
"""Q9P258""",16
"""O60645""",4
"""P20774""",5
"""O43174""",9
"""Q96S52""",4
"""P22415""",4
"""Q92613""",3
"""Q6W5P4""",8
"""P42830""",8
"""P05771""",33
"""P30685""",7
"""Q8NBS9""",9
"""Q99062""",4
"""Q01433""",4
"""P05109""",7
"""A6NFC9""",5
"""P30679""",16
"""P51793""",3
"""P63272""",25
"""P52849""",5
"""Q10588""",10
"""Q9UQ16""",18
"""Q6IA69""",4
"""Q12864""",4
"""P22894""",6
"""P35243""",7
"""Q9UBK5""",3
"""P27815""",7
"""P29353""",77
"""Q9UBU9""",8
"""P51178""",3
"""Q11203""",18
"""Q9Y487""",11
"""Q13614""",8
"""Q96R47""",5
"""O94788""",4
"""O95352""",12
"""Q86X52""",5
"""O95544""",4
"""Q9Y2T2""",4
"""Q99758""",5
"""Q01469""",10
"""O75077""",2
"""Q8N1W1""",4
"""Q9Y2I2""",3
"""Q13608""",2
"""P15529""",4
"""Q8TDD5""",4
"""O00203""",9
"""Q8TCX5""",4
"""P16389""",3
"""Q04609""",3
"""Q8WU17""",6
"""O00499""",3
"""Q8NGI0""",5
"""Q9HC23""",7
"""Q9UNH5""",8
"""P63173""",19
"""Q8IWJ2""",4
"""P51688""",5
"""Q05823""",4
"""P55058""",4
"""P63167""",50
"""P00734""",26
"""P49798""",5
"""P01594""",23
"""Q13509""",9
"""Q15047""",3
"""P48023""",13
"""O43543""",10
"""Q8NGI9""",5
"""O00754""",6
"""Q15583""",8
"""Q8NFH5""",56
"""P11172""",4
"""Q9BU02""",4
"""Q9NQZ5""",5
"""Q9Y6T7""",7
"""O15498""",11
"""O60858""",6
"""P98066""",3
"""O43252""",14
"""Q14738""",76
"""Q9H1K0""",6
"""Q9BRG1""",3
"""Q9BYZ6""",3
"""Q96L50""",7
"""Q92681""",8
"""O15217""",4
"""Q96DU3""",3
"""P31321""",28
"""Q9NX76""",3
"""P05177""",19
"""O15399""",16
"""O75791""",15
"""Q9H6A0""",4
"""Q9UQD0""",7
"""Q96T66""",4
"""Q99650""",5
"""Q8WTT0""",5
"""P41226""",15
"""Q68CP4""",3
"""O95757""",4
"""P53667""",17
"""Q9BV90""",4
"""Q99836""",44
"""Q7L7L0""",11
"""Q9UBQ7""",3
"""P55085""",7
"""P17031""",3
"""P24462""",5
"""Q92520""",4
"""Q16651""",3
"""P51787""",7
"""O00292""",7
"""Q9HBZ2""",7
"""Q9UGH3""",4
"""Q9Y274""",15
"""Q8NA42""",3
"""Q9UIF9""",4
"""P48050""",15
"""Q6NXG1""",9
"""Q13416""",21
"""P49591""",8
"""Q8N2W9""",23
"""P67812""",8
"""Q16666""",5
"""Q15796""",25
"""Q8N140""",5
"""Q15005""",8
"""Q9NYW0""",6
"""Q8NGR8""",5
"""Q8NGE7""",5
"""P78364""",22
"""P78385""",2
"""Q9NRB3""",5
"""Q5TZ20""",5
"""O75380""",5
"""Q8N149""",3
"""P15151""",8
"""Q9BZM4""",3
"""P16671""",22
"""P05090""",4
"""Q9NYB5""",4
"""Q9NYL9""",2
"""P51970""",5
"""Q5W064""",3
"""P11166""",11
"""P30550""",7
"""P13385""",3
"""Q6UWM9""",4
"""P07360""",5
"""Q9UJ41""",5
"""P35414""",7
"""Q96JK2""",3
"""P17931""",4
"""Q99743""",2
"""O95169""",7
"""A6NM76""",5
"""Q96CW5""",9
"""P0DMV9""",10
"""Q7Z5G4""",3
"""A6NF89""",5
"""O00401""",23
"""Q86TS9""",6
"""P26951""",14
"""Q9HDD0""",5
"""Q2QD12""",3
"""O75899""",17
"""Q9H6U8""",4
"""Q13635""",7
"""Q9H633""",3
"""Q9UHE5""",2
"""P48449""",4
"""Q86YT9""",5
"""Q96PQ7""",7
"""Q96Q27""",7
"""Q99638""",20
"""P62328""",4
"""P54219""",4
"""A0AVI4""",4
"""Q5T2D3""",9
"""Q8IY34""",4
"""P49189""",4
"""O15520""",44
"""Q8NHP6""",3
"""O60870""",3
"""Q8NGY6""",5
"""P00749""",5
"""Q9GZZ9""",4
"""A8MVX0""",10
"""Q5T7P3""",3
"""Q9P2S2""",3
"""P13640""",3
"""P15172""",3
"""Q86V81""",15
"""Q92993""",40
"""Q9BS31""",3
"""Q9BU23""",4
"""Q8TBG4""",5
"""P04629""",17
"""Q9NZ53""",4
"""O60879""",4
"""Q9NSC7""",6
"""Q8NEP9""",3
"""Q9UKJ0""",3
"""Q9NS87""",8
"""Q9NRW7""",6
"""Q92186""",13
"""Q9NYS7""",3
"""Q9UKT4""",10
"""P31513""",4
"""Q9NP60""",3
"""P06239""",44
"""Q96T51""",5
"""Q96SI1""",5
"""P27539""",2
"""Q9H171""",7
"""P23368""",4
"""Q9BXN2""",4
"""Q8WVQ1""",3
"""O75161""",5
"""P28072""",6
"""Q13011""",2
"""Q92696""",9
"""O43318""",54
"""Q9BZW8""",2
"""A9QM74""",5
"""P05198""",15
"""Q01718""",7
"""P55283""",7
"""Q8IUC6""",22
"""P08833""",4
"""Q9BQ95""",20
"""Q96CS3""",3
"""P43007""",4
"""Q9UK55""",4
"""Q5HYK7""",5
"""Q10567""",16
"""Q9Y4W6""",3
"""Q9UPY5""",7
"""P54252""",4
"""O94887""",4
"""Q9UJ14""",6
"""P35222""",43
"""O75197""",6
"""Q9UBS8""",4
"""Q07157""",12
"""O60573""",5
"""P35408""",8
"""Q8WV16""",3
"""O75056""",21
"""Q8WV37""",3
"""P21452""",8
"""P35398""",6
"""O14842""",12
"""O00478""",3
"""Q5MNZ6""",2
"""Q8NGQ3""",5
"""P08697""",5
"""Q9Y2C9""",13
"""P63146""",12
"""Q8NGF3""",5
"""Q9NUN5""",4
"""Q17RS7""",7
"""Q9Y289""",8
"""P59646""",6
"""P00167""",4
"""O15118""",4
"""P46527""",39
"""O60942""",12
"""P78556""",8
"""O43663""",4
"""P01567""",5
"""P22681""",46
"""Q8NGG8""",5
"""Q9BUY5""",3
"""Q5H9S7""",3
"""Q9BTM1""",48
"""Q6UWN5""",3
"""Q5TEU4""",5
"""Q9Y6M0""",3
"""Q3L8U1""",3
"""Q7Z6J0""",4
"""Q9P2E5""",5
"""P22607""",38
"""P35612""",2
"""Q9BZ95""",3
"""P35606""",11
"""P51991""",4
"""Q14957""",16
"""Q86UK5""",4
"""P42356""",6
"""Q6ZMT4""",7
"""P05156""",4
"""P52735""",32
"""P59190""",3
"""Q13620""",15
"""O94986""",16
"""Q7Z6J9""",3
"""P09651""",9
"""Q9UK13""",3
"""P84098""",19
"""Q9H1I8""",4
"""Q99623""",3
"""Q9Y4H4""",4
"""Q8WVP5""",4
"""Q8WVZ9""",12
"""Q9H0R8""",2
"""P55199""",23
"""Q96DI7""",5
"""P55064""",3
"""Q9HCZ1""",3
"""Q16630""",6
"""P00740""",10
"""Q04656""",7
"""Q7LG56""",3
"""P46059""",4
"""Q5TA81""",3
"""Q9Y2L8""",3
"""Q8N488""",6
"""Q9Y253""",9
"""O43741""",24
"""Q643R3""",9
"""O60240""",4
"""Q99518""",4
"""Q9BTZ2""",6
"""P18510""",5
"""Q8NHG7""",3
"""O14836""",4
"""P31939""",4
"""P24390""",11
"""Q9NSB2""",2
"""Q8NGN6""",5
"""P25800""",5
"""P0C645""",5
"""Q8N8Q9""",2
"""Q3KQV3""",3
"""O75473""",4
"""P21815""",3
"""Q9BTP7""",2
"""P17655""",5
"""Q9H342""",5
"""Q9BTE7""",3
"""Q86WA8""",5
"""Q86VI3""",4
"""Q93077""",60
"""P42263""",11
"""Q86W47""",7
"""P36544""",7
"""P25815""",3
"""Q9NYJ8""",47
"""Q9UJS0""",6
"""P52948""",69
"""P51589""",10
"""P15088""",3
"""Q9NR11""",3
"""O75182""",11
"""Q9H9H4""",12
"""Q13905""",17
"""Q9Y6I7""",7
"""O95622""",37
"""Q9P0K1""",2
"""Q14573""",41
"""Q8WV22""",5
"""Q8TED4""",4
"""Q15629""",3
"""Q9H237""",7
"""P19634""",9
"""Q5NV87""",20
"""Q9H867""",3
"""Q16348""",4
"""Q6ZT98""",3
"""P01703""",23
"""Q9Y466""",9
"""Q14588""",3
"""Q8N587""",3
"""P00338""",4
"""P02749""",4
"""Q6P9A3""",3
"""Q6MZZ7""",2
"""Q8NGS4""",5
"""P10909""",10
"""P23743""",7
"""Q9BY07""",4
"""P30493""",7
"""Q8NFZ3""",3
"""P30487""",7
"""P39086""",7
"""Q8NHX9""",3
"""P34982""",5
"""Q969V1""",8
"""P02458""",4
"""P13073""",9
"""Q5SW96""",9
"""P08047""",21
"""P03999""",9
"""Q6SZW1""",10
"""P22888""",7
"""P35237""",5
"""P0DI81""",10
"""Q86UU0""",4
"""P61371""",4
"""Q9BUE6""",2
"""P62891""",19
"""P22087""",4
"""Q92966""",7
"""Q8TC07""",4
"""Q6IQ20""",11
"""Q8TAX7""",9
"""P07858""",12
"""Q8IWT6""",2
"""P33992""",18
"""Q9UL33""",10
"""Q9UKR3""",5
"""Q7Z6V5""",3
"""Q9Y5V0""",3
"""O00187""",7
"""Q9HB03""",8
"""Q9UN19""",4
"""Q13131""",12
"""O95721""",7
"""O75467""",3
"""P43897""",4
"""Q96EK7""",2
"""P38571""",4
"""O95907""",11
"""P61266""",7
"""O00562""",5
"""Q15391""",8
"""Q9Y3B3""",11
"""Q6PCB7""",4
"""O43861""",3
"""Q8NCE2""",7
