Type,Sample,Size,ms,Repetition
UNIPROT,2,16000,1241.612,1
UNIPROT,2,16000,1207.701,2
UNIPROT,2,16000,1195.758,3
UNIPROT,2,16000,1299.818,4
UNIPROT,2,16000,1209.706,5
UNIPROT,2,18000,1281.683,1
UNIPROT,2,18000,1385.298,2
UNIPROT,2,18000,1292.452,3
UNIPROT,2,18000,1276.345,4
UNIPROT,2,18000,1357.724,5
UNIPROT,2,20000,1363.158,1
UNIPROT,2,20000,1346.735,2
UNIPROT,2,20000,1373.581,3
UNIPROT,2,20000,1351.811,4
UNIPROT,2,20000,1348.524,5
UNIPROT,3,1,668.838,1
UNIPROT,3,1,756.407,2
UNIPROT,3,1,671.799,3
UNIPROT,3,1,669.093,4
UNIPROT,3,1,670.460,5
UNIPROT,3,2000,748.416,1
UNIPROT,3,2000,750.259,2
UNIPROT,3,2000,795.112,3
UNIPROT,3,2000,743.496,4
UNIPROT,3,2000,746.335,5
UNIPROT,3,4000,812.851,1
UNIPROT,3,4000,803.542,2
UNIPROT,3,4000,855.348,3
UNIPROT,3,4000,835.721,4
UNIPROT,3,4000,801.054,5
UNIPROT,3,6000,876.595,1
UNIPROT,3,6000,876.647,2
UNIPROT,3,6000,955.069,3
UNIPROT,3,6000,868.182,4
UNIPROT,3,6000,877.982,5
UNIPROT,3,8000,942.708,1
UNIPROT,3,8000,986.774,2
UNIPROT,3,8000,931.127,3
UNIPROT,3,8000,933.374,4
UNIPROT,3,8000,983.632,5
UNIPROT,3,10000,1275.002,1
UNIPROT,3,10000,1127.640,2
UNIPROT,3,10000,1015.274,3
UNIPROT,3,10000,999.929,4
UNIPROT,3,10000,999.481,5
UNIPROT,3,12000,1065.759,1
UNIPROT,3,12000,1071.610,2
UNIPROT,3,12000,1069.966,3
UNIPROT,3,12000,1110.356,4
UNIPROT,3,12000,1065.406,5
UNIPROT,3,14000,1138.856,1
UNIPROT,3,14000,1177.320,2
UNIPROT,3,14000,1135.963,3
UNIPROT,3,14000,1135.637,4
UNIPROT,3,14000,1141.831,5
UNIPROT,3,16000,1215.048,1
UNIPROT,3,16000,1235.819,2
UNIPROT,3,16000,1216.581,3
UNIPROT,3,16000,1280.709,4
UNIPROT,3,16000,1209.330,5
UNIPROT,3,18000,1294.094,1
UNIPROT,3,18000,1345.193,2
UNIPROT,3,18000,1290.421,3
UNIPROT,3,18000,1278.125,4
UNIPROT,3,18000,1280.861,5
UNIPROT,3,20000,1339.161,1
UNIPROT,3,20000,1332.958,2
UNIPROT,3,20000,1365.851,3
UNIPROT,3,20000,1469.867,4
UNIPROT,3,20000,1351.066,5
UNIPROT,4,1,678.740,1
UNIPROT,4,1,668.548,2
UNIPROT,4,1,667.761,3
UNIPROT,4,1,744.948,4
UNIPROT,4,1,670.193,5
UNIPROT,4,2000,764.985,1
UNIPROT,4,2000,750.657,2
UNIPROT,4,2000,739.868,3
UNIPROT,4,2000,796.418,4
UNIPROT,4,2000,747.018,5
UNIPROT,4,4000,812.393,1
UNIPROT,4,4000,807.914,2
UNIPROT,4,4000,815.065,3
UNIPROT,4,4000,861.401,4
UNIPROT,4,4000,809.099,5
UNIPROT,4,6000,878.636,1
UNIPROT,4,6000,875.181,2
UNIPROT,4,6000,942.850,3
UNIPROT,4,6000,881.680,4
UNIPROT,4,6000,869.575,5
UNIPROT,4,8000,956.251,1
UNIPROT,4,8000,1005.673,2
UNIPROT,4,8000,941.322,3
UNIPROT,4,8000,950.808,4
UNIPROT,4,8000,945.018,5
UNIPROT,4,10000,1072.965,1
UNIPROT,4,10000,997.746,2
UNIPROT,4,10000,1012.219,3
UNIPROT,4,10000,1001.546,4
UNIPROT,4,10000,1015.214,5
UNIPROT,4,12000,1080.106,1
UNIPROT,4,12000,1077.557,2
UNIPROT,4,12000,1136.963,3
UNIPROT,4,12000,1176.734,4
UNIPROT,4,12000,1085.240,5
UNIPROT,4,14000,1150.147,1
UNIPROT,4,14000,1207.452,2
UNIPROT,4,14000,1168.708,3
UNIPROT,4,14000,1136.189,4
UNIPROT,4,14000,1145.105,5
UNIPROT,4,16000,1340.056,1
UNIPROT,4,16000,1227.756,2
UNIPROT,4,16000,1220.063,3
UNIPROT,4,16000,1214.549,4
UNIPROT,4,16000,1314.577,5
UNIPROT,4,18000,1275.159,1
UNIPROT,4,18000,1340.950,2
UNIPROT,4,18000,1294.412,3
UNIPROT,4,18000,1274.158,4
UNIPROT,4,18000,1272.320,5
UNIPROT,4,20000,1336.343,1
UNIPROT,4,20000,1334.095,2
UNIPROT,4,20000,1327.952,3
UNIPROT,4,20000,1348.436,4
UNIPROT,4,20000,1347.389,5
UNIPROT,5,1,677.263,1
UNIPROT,5,1,667.619,2
UNIPROT,5,1,681.329,3
UNIPROT,5,1,744.000,4
UNIPROT,5,1,674.115,5
UNIPROT,5,2000,778.627,1
UNIPROT,5,2000,743.226,2
UNIPROT,5,2000,744.002,3
UNIPROT,5,2000,745.952,4
UNIPROT,5,2000,797.645,5
UNIPROT,5,4000,809.970,1
UNIPROT,5,4000,810.315,2
UNIPROT,5,4000,807.029,3
UNIPROT,5,4000,798.960,4
UNIPROT,5,4000,863.680,5
UNIPROT,5,6000,1060.411,1
UNIPROT,5,6000,878.910,2
UNIPROT,5,6000,866.645,3
UNIPROT,5,6000,935.563,4
UNIPROT,5,6000,869.432,5
UNIPROT,5,8000,931.154,1
UNIPROT,5,8000,938.490,2
UNIPROT,5,8000,1208.645,3
UNIPROT,5,8000,1074.528,4
UNIPROT,5,8000,938.759,5
UNIPROT,5,10000,998.979,1
UNIPROT,5,10000,1083.896,2
UNIPROT,5,10000,1010.639,3
UNIPROT,5,10000,1001.193,4
UNIPROT,5,10000,1004.222,5
UNIPROT,5,12000,1124.673,1
UNIPROT,5,12000,1085.512,2
UNIPROT,5,12000,1076.600,3
UNIPROT,5,12000,1084.797,4
UNIPROT,5,12000,1077.607,5
UNIPROT,5,14000,1134.836,1
UNIPROT,5,14000,1135.405,2
UNIPROT,5,14000,1131.504,3
UNIPROT,5,14000,1160.028,4
UNIPROT,5,14000,1136.560,5
UNIPROT,5,16000,1210.227,1
UNIPROT,5,16000,1263.260,2
UNIPROT,5,16000,1212.396,3
UNIPROT,5,16000,1222.813,4
UNIPROT,5,16000,1197.527,5
UNIPROT,5,18000,1278.571,1
UNIPROT,5,18000,1267.930,2
UNIPROT,5,18000,1421.251,3
UNIPROT,5,18000,1359.106,4
UNIPROT,5,18000,1300.024,5
UNIPROT,5,20000,1363.897,1
UNIPROT,5,20000,1375.011,2
UNIPROT,5,20000,1348.094,3
UNIPROT,5,20000,1355.704,4
UNIPROT,5,20000,1348.327,5
UNIPROT,6,1,679.897,1
UNIPROT,6,1,760.429,2
UNIPROT,6,1,678.743,3
UNIPROT,6,1,663.084,4
UNIPROT,6,1,670.718,5
UNIPROT,6,2000,745.097,1
UNIPROT,6,2000,843.382,2
UNIPROT,6,2000,773.243,3
UNIPROT,6,2000,752.855,4
UNIPROT,6,2000,747.476,5
UNIPROT,6,4000,827.045,1
UNIPROT,6,4000,880.295,2
UNIPROT,6,4000,816.462,3
UNIPROT,6,4000,803.399,4
UNIPROT,6,4000,824.524,5
UNIPROT,6,6000,943.044,1
UNIPROT,6,6000,877.520,2
UNIPROT,6,6000,876.151,3
