"""protein""","""reactionCount""","""pathwayCount"""
"""Q13554""",16,30
"""P21359""",1,5
"""P23443""",5,3
"""Q9H2X6""",2,6
"""P53778""",1,4
"""Q6UWZ7""",10,16
"""P02647""",1,4
"""Q9UBK2""",5,4
"""Q8TEH3""",3,4
"""P61086""",1,4
"""P54840""",1,4
"""Q49B96""",1,2
"""Q92529""",5,9
"""P60604""",2,4
"""Q9UM11""",10,14
"""P17676""",6,4
"""Q9UM47""",16,8
"""Q3SY69""",1,4
"""P01100""",6,36
"""O14920""",16,50
"""P54132""",1,5
"""P43403""",6,5
"""Q96CV9""",3,5
"""P58012""",1,5
"""P14207""",1,3
"""O00391""",1,4
"""P62495""",4,3
"""P07942""",1,4
"""Q08881""",4,4
"""O95835""",6,2
"""Q13224""",4,4
"""Q14765""",2,6
"""P69905""",2,4
"""P14921""",2,4
"""P20774""",7,5
"""P05771""",5,11
"""Q10588""",1,3
"""P29353""",90,70
"""O95352""",10,6
"""Q9Y2I2""",1,3
"""O00203""",5,4
"""P00734""",4,9
"""O15498""",18,11
"""O43252""",5,4
"""P53667""",7,17
"""Q7L7L0""",14,11
"""Q6NXG1""",5,4
"""Q15796""",36,24
"""P16671""",25,22
"""P13385""",5,3
"""Q99743""",16,2
"""O00401""",4,8
"""Q13635""",2,3
"""O60870""",1,3
"""P04629""",29,17
"""O60879""",2,4
"""Q9NZ53""",1,4
"""Q96T51""",3,5
"""P06239""",15,14
"""Q9UKT4""",5,10
"""Q9BXN2""",3,4
"""P05198""",1,3
"""O43318""",15,46
"""Q9UK55""",1,4
"""P08833""",1,4
"""P35222""",12,12
"""O75197""",3,4
"""O75056""",24,21
"""P63146""",2,5
"""P46527""",13,21
"""P22681""",53,35
"""Q6UWN5""",1,3
"""Q9Y6M0""",1,3
"""P22607""",53,38
"""Q6ZMT4""",5,4
"""Q13620""",2,3
"""P59190""",1,3
"""P52735""",19,22
"""Q16630""",6,6
"""P00740""",7,10
"""Q9Y253""",1,4
"""O60240""",2,4
"""Q93077""",14,11
"""P52948""",2,6
"""P02458""",14,4
"""P03999""",3,6
"""Q8TAX7""",14,9
"""Q9UN19""",1,4
"""Q13131""",14,12
"""Q99704""",1,4
"""O14950""",11,16
"""P55259""",1,3
"""Q9Y256""",1,4
"""Q8N122""",4,6
"""Q9NR61""",2,4
"""P52333""",4,6
"""P20273""",3,5
"""P23434""",5,4
"""P10398""",24,15
"""P26678""",3,6
"""O94953""",1,4
"""Q9UKP5""",2,4
"""P07237""",2,7
"""O95396""",2,4
"""O75581""",3,4
"""O75461""",1,4
"""Q9ULC3""",1,3
"""Q6UX39""",1,4
"""P61956""",24,24
"""Q6PGQ7""",6,5
"""Q8N257""",10,12
"""P62072""",2,2
"""P37173""",1,4
"""Q9Y5J7""",2,2
"""Q9NP90""",2,7
"""Q01826""",2,5
"""P23527""",10,12
"""Q9H324""",2,4
"""O95235""",1,4
"""P62987""",17,13
"""O00763""",1,4
"""Q9Y625""",21,16
"""O95786""",26,13
"""P52630""",8,5
"""Q92558""",5,8
"""Q9Y277""",1,4
"""Q9UHC7""",2,6
"""O95999""",9,7
"""P53634""",11,9
"""Q9P126""",2,3
"""Q15388""",1,4
"""P20849""",17,9
"""P45984""",4,31
"""P06493""",42,49
"""Q86YS7""",1,3
"""Q13617""",4,3
"""P41208""",1,5
"""P16284""",6,5
"""P35968""",42,5
"""Q96AH8""",2,7
"""P05186""",1,3
"""Q5TAT6""",12,5
"""P61020""",3,8
"""P04908""",14,11
"""P60660""",5,2
"""Q8TDX7""",2,7
"""P08571""",44,24
"""Q16555""",3,4
"""P11274""",13,6
"""Q9NY84""",1,3
"""P42224""",26,26
"""O75143""",4,2
"""Q9H1J7""",6,5
"""O75164""",1,4
"""P61077""",5,5
"""Q9HCM3""",5,4
"""P46734""",5,27
"""P27694""",1,5
"""P05549""",1,10
"""Q16513""",1,4
"""Q9HCE9""",1,4
"""P09429""",3,4
"""Q9NRW1""",2,7
"""P0DP23""",1,10
"""P51151""",2,7
"""A4D1S5""",1,3
"""Q12846""",1,4
"""Q08431""",1,4
"""Q8N158""",21,16
"""O60216""",9,13
"""P62805""",59,32
"""P05165""",2,8
"""Q5QNW6""",9,8
"""Q12933""",2,4
"""Q9BXL7""",13,10
"""P36894""",6,3
"""Q8TE58""",2,4
"""Q9UEW3""",1,3
"""O95972""",1,4
"""O95477""",6,4
"""Q8N4Z0""",1,3
"""O95867""",1,3
"""P05060""",1,4
"""Q92630""",3,6
"""P02818""",2,6
"""Q13085""",2,7
"""P07225""",9,17
"""Q14210""",1,3
"""Q96B36""",7,10
"""Q9HCB6""",2,4
"""P31785""",3,6
"""O15240""",1,4
"""P01033""",1,4
"""Q13002""",2,6
"""P21796""",5,6
"""Q12834""",1,4
"""Q9UBE8""",3,4
