"""protein""","""reactionCount""","""pathwayCount"""
"""Q9BZM5""",1,3
"""P51965""",2,5
"""O75891""",1,4
"""Q01449""",5,2
"""P08069""",7,6
"""P16885""",13,17
"""Q14964""",2,7
"""Q8N5V2""",2,4
"""P20338""",1,3
"""O43559""",26,21
"""Q14002""",1,3
"""Q9NZL9""",1,4
"""Q9Y572""",1,3
"""Q14694""",1,4
"""Q9H832""",1,4
"""Q15303""",48,30
"""P48357""",14,2
"""P56211""",2,5
"""P09382""",1,4
"""O95140""",4,2
"""Q9Y6W5""",5,8
"""Q6UVK1""",13,8
"""P51170""",1,3
"""Q14766""",1,4
"""Q9H7L9""",1,4
"""Q07065""",3,5
"""P62314""",17,7
"""P14625""",1,4
"""Q5FYB0""",1,8
"""Q96AD5""",1,4
"""P24385""",4,5
"""P12109""",16,12
"""P35520""",2,6
"""Q86UN3""",1,3
"""Q13153""",23,31
"""Q99717""",6,3
"""P21333""",1,4
"""P42768""",4,8
"""O14744""",2,3
"""P25963""",10,47
"""Q86XI2""",1,5
"""P17677""",1,3
"""Q96FA3""",7,21
"""P15848""",3,12
"""Q9Y4I1""",1,3
"""O95716""",1,3
"""Q9H1J5""",9,5
"""P68871""",2,4
"""Q92614""",6,6
"""P23771""",1,4
"""P16220""",13,68
"""P42681""",4,4
"""Q13330""",1,5
"""P07766""",9,8
"""Q9GZV9""",153,72
"""Q8IWA4""",4,2
"""P00450""",1,4
"""Q53H12""",5,4
"""Q9NPB6""",3,4
"""P31358""",1,3
"""Q96PL2""",1,3
"""P35052""",21,16
"""Q7Z7A1""",6,6
"""P51668""",7,6
"""P23327""",1,4
"""P33151""",1,5
"""P01308""",20,20
"""P61081""",9,7
"""P10696""",1,3
"""Q02750""",30,47
"""P15260""",5,4
"""Q969T4""",3,4
"""P16118""",3,7
"""P57053""",1,4
"""Q14088""",1,3
"""P56703""",4,4
"""Q04759""",11,10
"""Q9NVI1""",5,2
"""Q14457""",3,6
"""O43157""",9,6
"""P11473""",1,4
"""Q96KK5""",14,11
"""P51797""",5,4
"""O75888""",1,3
"""O75582""",4,33
"""Q96P44""",11,4
"""Q8IWV2""",1,3
"""Q15021""",3,5
"""Q96A83""",11,4
"""Q15717""",5,3
"""P68104""",2,3
"""Q8NI32""",1,3
"""P15056""",39,28
"""P04000""",3,6
"""Q8NBP7""",1,4
"""P15941""",14,9
"""Q969V5""",1,4
"""Q9UM21""",1,4
"""O00161""",1,5
"""P60484""",13,11
"""P84243""",59,44
"""Q8NER5""",4,5
"""Q14145""",1,4
"""Q9NRM7""",6,2
"""Q8WVN8""",1,4
"""Q9NYB9""",4,8
"""Q9UPP1""",1,5
"""O60343""",1,3
"""Q96CW9""",1,3
"""P06213""",11,11
"""P63162""",6,4
"""Q13618""",1,3
"""P23528""",2,14
"""Q02078""",3,32
"""P11488""",7,8
"""P56817""",1,2
"""Q92997""",16,11
"""Q86TI0""",2,3
"""Q9NP70""",1,4
"""P20908""",13,4
"""P41221""",38,15
"""P53350""",24,25
"""Q684P5""",2,3
"""P05067""",1,4
"""P35226""",2,9
"""P48735""",1,3
"""Q9P232""",1,3
"""O14561""",1,4
"""P04234""",9,8
"""P04114""",9,14
"""Q13114""",13,16
"""P21549""",1,3
"""Q9H8S9""",13,2
"""Q13009""",3,9
"""Q8WXD2""",1,4
"""Q6P988""",1,4
"""P11182""",4,4
"""O14654""",1,5
"""Q6UXB3""",1,3
"""P06899""",10,12
"""P09874""",18,18
"""O75051""",8,6
"""Q8TEB7""",1,4
"""Q6UWN0""",1,3
"""P00738""",2,3
"""P34059""",1,3
"""P60880""",18,22
"""P55854""",18,15
"""P45985""",5,32
"""Q9Y2I6""",2,7
"""O14966""",1,3
"""P19419""",1,29
"""P21810""",15,10
"""P24394""",4,4
"""P00519""",4,12
"""P12004""",37,27
"""P14384""",1,3
"""P27918""",2,4
"""P01583""",13,6
"""Q02505""",14,9
"""Q13426""",1,5
"""Q05707""",12,6
"""O94855""",2,8
"""Q14676""",30,17
"""Q96RQ3""",3,6
"""O75339""",1,3
"""P23219""",1,5
"""P61018""",1,3
"""P09544""",3,3
"""Q12829""",1,3
"""P51149""",2,7
"""P11362""",48,38
"""Q9HC98""",2,7
"""O60934""",62,25
"""Q2UY09""",11,4
"""Q96MS0""",1,4
"""Q8TD19""",5,7
"""Q6ZMP0""",2,4
"""P23246""",1,4
"""Q96SD1""",8,3
"""Q02045""",5,2
"""Q9NVK5""",7,6
"""P07550""",19,12
"""Q13315""",77,44
"""Q9UK32""",3,7
"""Q9UQC2""",12,25
"""Q9H0T7""",1,3
"""Q712K3""",1,4
"""Q9Y266""",1,4
"""Q49AN0""",3,1
"""Q13569""",2,5
"""Q6Q788""",1,4
"""Q9NRM1""",1,4
"""O60814""",10,12
"""Q9UL25""",2,7
"""P56706""",3,3
"""P45973""",1,5
"""Q09472""",1,5
"""Q8IU57""",1,4
"""Q9Y365""",1,5
"""O00548""",2,4
"""P13611""",15,14
"""Q92985""",15,18
"""O43597""",11,14
"""Q01196""",14,7
"""O00257""",1,5
"""Q6YHK3""",1,3
"""P29590""",4,5
"""Q9Y5P4""",4,4
"""Q14055""",17,9
"""Q04726""",2,4
"""Q99708""",27,22
"""Q9BPX3""",3,5
"""P45880""",1,4
"""Q15003""",3,5
"""Q9HAW4""",4,13
"""P24844""",11,16
"""Q9Y4H2""",18,30
"""P08123""",14,7
"""Q86Y22""",14,7
"""P78527""",8,3
"""P15923""",3,3
"""P14678""",17,7
"""Q14061""",1,2
"""Q8IVT5""",34,15
"""P04216""",1,3
"""Q96HY7""",1,3
"""Q9P121""",1,3
"""Q92481""",1,10
"""Q6H3X3""",1,3
"""Q9BPU6""",3,4
"""P0C0S8""",14,11
"""Q86XR7""",20,15
"""P07949""",12,7
"""A8TX70""",16,12
"""Q14247""",1,4
"""Q8N5Z0""",3,5
"""P19793""",2,3
"""P78356""",2,7
"""O15382""",2,3
"""P53671""",3,11
"""Q00987""",26,34
"""P16471""",6,3
"""Q5XPI4""",1,4
"""Q12841""",1,4
"""Q7Z434""",1,4
"""P46531""",43,17
"""P08581""",45,27
"""Q9HC77""",1,6
"""Q92844""",6,9
