"""protein""","""reactionCount"""
"""Q8NGT0""",1
"""Q8NH50""",1
"""Q9UHB9""",3
"""Q08AN1""",1
"""Q06828""",9
"""Q06033""",1
"""Q9NUQ2""",2
"""P49643""",17
"""Q9P2X0""",1
"""Q504Q3""",1
"""O60313""",1
"""O43502""",12
"""Q8N2Q7""",7
"""Q8N983""",10
"""P40222""",3
"""Q15848""",2
"""P98171""",1
"""O43684""",20
"""A6NK58""",1
"""P25021""",4
"""P48788""",4
"""Q9BYW1""",1
"""Q7RTV2""",1
"""Q9ULW0""",3
"""P41586""",5
"""P22748""",4
"""P42336""",84
"""Q8WVM0""",1
"""Q9H2D1""",2
"""Q96E22""",1
"""Q02543""",20
"""O95196""",13
"""Q695T7""",1
"""Q9H8G1""",1
"""O75822""",8
"""Q9UJ83""",3
"""Q12891""",2
"""O95602""",12
"""Q8WUX1""",1
"""P52756""",7
"""Q9UBC2""",20
"""Q14532""",3
"""P49841""",30
"""Q15392""",2
"""O95571""",1
"""Q14526""",1
"""P82921""",12
"""Q15386""",3
"""Q02246""",3
"""Q7L1S5""",1
"""P61006""",11
"""Q8IZD6""",1
"""Q6Q0C0""",3
"""O00629""",1
"""Q9UPV9""",5
"""P07307""",1
"""Q8N9F0""",1
"""Q9UIB8""",1
"""P52657""",29
"""Q6NZY7""",1
"""Q9Y3P9""",1
"""Q9NQ69""",1
"""O60220""",2
"""Q9Y305""",1
"""Q9NW15""",1
"""P86791""",1
"""P49736""",15
"""O95466""",5
"""O43897""",4
"""P23510""",1
"""Q8N0Y3""",1
"""Q8NGY7""",1
"""Q86XP0""",16
"""P30260""",28
"""Q9BUK0""",1
"""Q92478""",1
"""Q8NGN7""",1
"""P21281""",4
"""Q8NGA6""",1
"""Q8NGC7""",1
"""P0CF74""",43
"""P78536""",13
"""P00797""",3
"""P30305""",6
"""Q96N22""",1
"""Q9H4P4""",10
"""P11926""",4
"""O75525""",1
"""Q96I27""",1
"""Q9BV79""",1
"""Q9BRV3""",1
"""P25791""",2
"""Q96NL3""",1
"""Q92925""",4
"""Q8TAT6""",2
"""Q01085""",1
"""Q9H9Q4""",3
"""P51449""",1
"""Q9H9P8""",1
