"""protein""","""reactionCount"""
"""Q16777""",83
"""Q9HB21""",1
"""Q15116""",4
"""Q9Y6J0""",2
"""O95259""",1
"""O96015""",1
"""O96009""",2
"""P21266""",1
"""O15547""",2
"""Q8NF37""",7
"""P06731""",2
"""A4D2G3""",1
"""P31645""",1
"""Q8NEG7""",1
"""P20916""",4
"""Q9NSD9""",1
"""Q9P2J9""",1
"""P02746""",7
"""Q9BYG0""",1
"""Q9UD71""",7
"""O95760""",4
"""Q8WWA0""",1
"""Q13164""",7
"""Q9BQQ3""",8
"""O76064""",23
"""Q92604""",2
"""P11766""",1
"""P51800""",1
"""P05106""",74
"""Q9BT09""",2
"""P51790""",1
"""P14735""",3
"""Q96CJ1""",11
"""Q03154""",1
"""P14927""",1
"""P09601""",1
"""Q9H672""",8
"""O00481""",2
"""Q9H8M9""",1
"""P35240""",2
"""P42785""",3
"""Q9Y2D2""",1
"""P08236""",5
"""P35900""",3
"""P29350""",22
"""P04179""",2
"""Q96RT8""",3
"""Q9UIQ6""",2
"""Q96RI8""",4
"""P18621""",20
"""Q14393""",5
"""Q99542""",5
"""Q8WVJ9""",1
"""Q8TBP0""",1
"""P30499""",16
"""Q16690""",1
"""P18615""",39
"""P07996""",8
"""P62424""",20
"""Q8WV28""",3
"""Q99728""",35
"""Q5VST9""",3
"""P63092""",20
"""Q9UNS2""",5
"""Q15329""",15
"""P62304""",21
"""Q8NH41""",1
"""Q8NGS1""",1
"""Q9UPQ8""",1
"""Q8IWT3""",4
"""Q9GZT4""",3
"""P27635""",20
"""P10600""",4
"""P51679""",4
"""O60304""",1
"""Q99578""",3
"""P60709""",20
"""P54819""",2
"""Q8N2C7""",1
"""Q99437""",4
"""P49019""",4
"""Q92922""",4
"""Q6PK81""",1
"""Q16558""",2
"""Q8NGI6""",1
"""O14641""",48
"""Q9NRF2""",5
"""P98177""",3
"""P85037""",2
"""A8MTZ0""",4
"""P09960""",11
"""Q92823""",6
"""Q9BZF3""",1
"""Q9BYX2""",1
"""Q92817""",6
"""P0DML2""",7
"""Q03181""",5
"""P23458""",95
"""A6NGY5""",1
"""Q9BS16""",15
"""Q96RM1""",4
"""O94822""",3
"""P08263""",1
"""Q6IQ26""",1
"""Q5TCM9""",2
"""P31639""",2
"""Q9NQ86""",3
"""Q9UL45""",1
"""Q587J7""",3
"""Q96QV1""",1
"""Q96QK1""",1
"""O95868""",1
"""Q96JW4""",1
"""P22307""",7
"""Q8TE23""",4
"""Q8WTS1""",1
"""Q0VG06""",8
"""Q496H8""",1
"""P41217""",1
"""Q96IU4""",1
"""Q9H156""",1
"""Q8WW27""",2
"""P55082""",1
"""Q13017""",1
"""Q16762""",2
"""Q9UQ49""",2
"""Q8NBK3""",2
"""P07954""",2
"""Q9Y2L5""",1
"""Q5K4L6""",1
"""Q0VDF9""",5
"""Q6P9F7""",1
"""Q9Y265""",9
"""P19397""",2
"""Q16798""",1
"""Q99536""",1
"""P49888""",6
"""Q9BV40""",27
"""P80365""",1
"""O00308""",3
"""P19256""",3
"""Q92990""",3
"""P22001""",1
"""O60882""",4
"""Q969Q1""",3
"""Q969F1""",12
"""Q9NRM0""",1
"""O60741""",2
"""O60762""",1
"""Q9NS84""",1
"""P33240""",12
"""O43462""",8
"""P20396""",4
"""P62841""",27
"""O15427""",4
"""Q6WCQ1""",5
"""Q9NYW6""",4
"""P0CB33""",1
"""P11277""",16
"""P05387""",20
"""A8MUZ8""",1
"""Q12981""",3
"""Q96SL4""",1
"""Q96SA4""",1
"""O75881""",3
"""P48551""",14
"""Q9UBI1""",15
"""O75386""",3
"""Q00887""",1
"""P62736""",4
"""P51815""",1
"""O00512""",3
"""Q03721""",1
"""P39900""",13
"""Q12996""",11
"""Q04695""",3
"""P01721""",43
"""Q8NBT2""",13
"""P55809""",1
"""O15121""",2
"""Q9H0B8""",2
"""Q76LX8""",2
"""Q9H6H4""",1
"""Q9Y3A4""",1
"""Q9Y478""",16
"""O94779""",1
"""Q0VD83""",1
"""Q8N3U4""",21
"""Q8NGU2""",1
"""P52429""",1
"""O60294""",3
"""Q9NTN3""",1
"""Q8N9A8""",1
"""P00746""",5
"""O60840""",1
"""P21860""",27
"""P49675""",2
"""Q9NYZ3""",9
"""Q01082""",17
"""P04440""",31
"""Q01955""",16
"""P62253""",4
"""Q9NQZ2""",1
"""Q9BUQ8""",9
"""P30874""",4
"""Q9ULV1""",29
"""Q8TBF5""",1
"""Q13950""",54
"""Q9UL51""",2
"""P14324""",2
"""Q9NSB8""",3
"""Q8WXK3""",8
"""Q9H2C2""",1
"""Q13263""",1
"""Q96MM6""",5
"""Q9BZG8""",1
"""Q9H1J1""",2
"""P55212""",4
"""Q9BYD3""",10
"""Q6Y1H2""",1
"""P56945""",11
"""Q96LI5""",2
"""P35504""",1
"""P25089""",4
"""P62829""",20
"""Q86TU7""",2
"""P61278""",4
"""A6NGB9""",5
"""Q15413""",1
"""Q9H6X2""",4
"""Q9Y697""",2
"""Q8NE65""",1
"""O00574""",4
"""Q07955""",17
"""Q13158""",26
"""Q7Z553""",1
"""P01133""",110
"""P01814""",44
"""P43628""",1
"""Q96S37""",1
"""Q8IZN7""",1
"""P17844""",12
"""Q8IZC7""",1
"""Q8N371""",1
"""P29323""",14
"""O14980""",29
"""O95628""",2
"""Q9BXI2""",1
"""Q15428""",6
"""Q9BQ51""",4
"""O14974""",7
"""Q9NV96""",2
"""P01709""",43
"""P15382""",2
"""O43768""",2
"""P20594""",1
"""O43633""",4
"""P23677""",1
"""Q92901""",20
"""Q6FIF0""",2
"""Q8NES3""",1
"""P04839""",9
"""Q5TEC3""",1
"""Q9NZ71""",1
"""Q93074""",4
"""Q9UNA4""",7
"""Q9NYK1""",19
"""Q9NRY5""",5
"""Q8NGF9""",1
"""Q969G6""",1
"""Q9NTX7""",4
"""P33261""",17
"""P51617""",54
"""P00533""",134
"""P09211""",4
"""Q6ZNI0""",1
"""Q96AV8""",3
"""Q9P255""",1
"""Q13362""",39
"""P40197""",10
"""Q9BZZ2""",1
"""Q96GD4""",17
"""Q13356""",1
"""A0A075B6P5""",43
"""P61201""",5
"""Q30KQ5""",1
"""P30988""",5
"""P41597""",6
"""P24001""",1
"""Q5NV90""",35
"""P07492""",4
"""Q9UK73""",3
"""P53602""",1
"""P47712""",18
"""Q6ZMH5""",1
"""Q8WVV5""",1
"""Q9Y490""",48
"""Q8N5D0""",5
"""Q9H6T0""",1
"""Q7Z460""",36
"""O95847""",4
"""Q9H063""",2
"""Q9Y5T5""",1
"""Q9H936""",1
"""P29536""",4
"""O43291""",2
"""P37837""",2
"""P48431""",18
"""Q96JJ3""",6
"""Q8WU20""",112
"""Q6NUS6""",3
"""Q14657""",1
"""Q9NWZ5""",1
"""P30490""",16
"""Q9NPF4""",1
"""P01601""",43
"""Q9Y3M9""",1
"""P02461""",15
"""Q9Y2J4""",4
"""O43681""",1
"""O43660""",6
"""P49795""",3
"""O60486""",1
"""P01591""",1
"""Q8NGJ2""",1
"""P22891""",2
"""Q8TCT1""",2
"""Q6P2E9""",1
"""P04731""",3
"""Q86XM0""",2
"""Q8NH56""",1
"""P10636""",1
"""Q92619""",3
"""Q5VXJ0""",1
"""Q96B01""",7
"""O15511""",16
"""P22090""",27
"""Q96A70""",1
"""Q9HCJ1""",1
"""Q6UXL0""",2
"""P12111""",17
"""P07195""",2
"""Q969N4""",4
"""Q6UXV4""",1
"""P51685""",5
"""O43555""",4
"""P03897""",6
"""P52435""",122
"""P05981""",2
"""P0DP74""",1
"""P04626""",44
"""P62820""",30
"""Q6VAB6""",24
"""Q9BSY4""",1
"""Q9HA64""",1
"""Q9HBI6""",7
"""P07585""",18
"""Q9UN37""",2
"""Q9Y5Y3""",3
"""Q9UMR7""",1
"""Q9H963""",1
"""Q9Y5L2""",1
"""Q14690""",1
"""P16615""",2
"""Q8WXA8""",1
"""Q15554""",2
"""O95067""",12
"""O75173""",4
"""Q30KP9""",1
"""Q07325""",4
"""Q8IV08""",2
"""P80188""",4
"""O95139""",6
"""Q5NV84""",35
"""P58549""",1
"""P10153""",1
"""P37108""",5
"""P57679""",3
"""Q9NP31""",7
"""Q70CQ1""",1
"""P35348""",7
"""P01700""",43
"""Q9Y271""",4
"""Q8N392""",1
"""P01034""",3
"""Q8N2K1""",4
"""Q06278""",1
"""C9JJH3""",2
"""P10720""",1
"""P01189""",21
"""Q92526""",15
"""Q96IV0""",1
"""P41223""",5
"""Q8TDS4""",4
"""Q8NGF0""",1
"""Q8NGP4""",1
"""P30484""",16
"""P14543""",7
"""P21953""",4
"""P26022""",2
"""P01699""",43
"""P12318""",14
"""P51784""",2
"""Q00534""",10
"""Q5T8D3""",1
"""Q8N8S7""",3
"""Q9H3L0""",1
"""O75027""",1
"""Q3MUY2""",1
"""O95271""",7
"""Q8TE59""",2
"""Q86W92""",1
"""Q86VX2""",14
"""Q9BW27""",48
"""Q99677""",4
"""Q6KC79""",1
"""Q86YB8""",1
"""P35228""",3
"""Q9C026""",3
"""Q96HJ5""",1
"""P50747""",5
"""P58753""",18
"""Q9HB63""",2
"""Q96AX9""",9
"""P13688""",5
"""Q96I59""",1
"""Q95365""",18
"""Q8IVA1""",1
"""Q8IV61""",2
"""Q9ULH4""",4
"""Q9UKR0""",1
"""O75417""",3
"""O95967""",3
"""Q8WXI2""",24
"""Q13242""",12
"""Q9Y6A1""",1
"""Q07352""",6
"""Q15653""",3
"""O95832""",1
"""Q9Y661""",1
"""O75578""",10
"""Q8WXH6""",2
"""O95166""",7
"""Q96FL8""",1
"""P17568""",7
"""P19652""",3
"""Q92730""",8
"""P46977""",1
"""P19838""",25
"""Q8NET8""",1
"""Q6ZMG9""",1
"""Q9Y484""",1
"""Q9Y676""",12
"""P84095""",13
"""P27338""",2
"""Q9UKG9""",3
"""Q99755""",5
"""P47888""",1
"""Q9Y5K6""",2
"""Q9NY72""",2
"""P01112""",89
"""O95727""",1
"""Q9NQW5""",1
"""P56747""",1
"""P55196""",2
"""O43852""",2
"""A6NNF4""",1
"""P01106""",9
"""Q9BY31""",1
"""A0AVT1""",6
"""Q6PI98""",2
"""Q8NBJ7""",2
"""P05783""",3
"""P50150""",69
"""Q6NZ36""",8
"""O75600""",2
"""Q10471""",3
"""Q31610""",16
"""P20718""",2
"""Q12882""",2
"""Q9BVI4""",1
"""P50336""",1
"""P29371""",4
"""Q9UBW7""",9
"""P52747""",13
"""P41145""",4
"""Q9H765""",8
"""O43747""",14
"""P04746""",2
"""Q9BUR4""",2
"""Q9UI33""",2
"""Q9BX26""",3
"""P04632""",6
"""Q6ISS4""",1
"""Q86YT6""",6
"""O00221""",2
"""P04818""",1
"""Q969P5""",9
"""Q16570""",1
"""Q9GZV5""",14
"""P51571""",2
"""Q9UGB7""",1
"""Q9H4B4""",2
"""Q96P88""",4
"""Q9UG56""",1
"""P09486""",3
"""P17787""",6
"""P29074""",1
"""Q13449""",1
"""P20340""",10
"""O95379""",1
"""Q96GW7""",16
"""Q15746""",4
"""O95925""",1
"""Q14195""",3
"""O43561""",36
"""Q96GA7""",1
"""Q08170""",11
"""O00116""",6
"""Q8NE71""",1
"""Q8NDV1""",2
"""P43004""",3
"""O14662""",7
"""Q8NG57""",28
"""Q6PIU1""",1
"""Q5TCZ1""",1
"""Q8ND30""",1
"""Q8NCR0""",1
"""O14656""",1
"""Q6P4R8""",2
"""Q9NQ92""",2
"""Q9Y6J9""",1
"""Q7L9L4""",13
"""Q29980""",1
"""P56159""",20
"""P14210""",45
"""Q16288""",1
"""Q92838""",3
"""O43264""",14
"""P55289""",2
"""P56705""",9
"""Q29974""",31
"""P10912""",21
"""P05013""",13
"""O15235""",12
"""P06746""",25
"""P01715""",43
"""O15229""",1
"""Q8NBQ5""",1
"""Q9NPD3""",4
"""Q9UIA0""",2
"""Q10570""",15
"""P01876""",1
"""P16444""",2
"""Q9NP87""",3
"""Q92547""",10
"""Q8WUA2""",5
"""P35354""",12
"""Q8TD30""",2
"""Q6P2C8""",2
"""Q96BD0""",1
"""Q496J9""",3
"""P41238""",2
"""O43159""",4
"""Q8NGR5""",1
"""Q9UBS5""",5
"""P0CG37""",5
"""Q3MJ16""",7
"""Q9HD40""",1
"""P38484""",10
"""Q8IYB3""",13
"""P51809""",25
"""P07205""",2
"""Q05940""",9
"""P32119""",2
"""Q7LFX5""",1
"""Q9HD34""",1
"""P46098""",1
"""P07288""",1
"""P46779""",20
"""Q9UGJ1""",3
"""Q9UNF1""",1
"""Q13554""",16
"""Q30167""",31
"""Q30KR1""",1
"""P54753""",13
"""P01579""",10
"""P21359""",4
"""Q14112""",3
"""Q9Y286""",1
"""P35249""",62
"""P23443""",5
"""P62913""",20
"""P16219""",2
"""Q14954""",1
"""P26718""",12
"""O00329""",11
"""Q16678""",6
"""P0DJI8""",12
"""Q8TBE9""",1
"""Q9H9J2""",10
"""P28328""",8
"""Q9H2X6""",4
"""Q9NZD2""",1
"""Q9HC29""",13
"""P48764""",1
"""Q8NGG5""",1
"""P78382""",1
"""Q9Y6B6""",14
"""Q9Y5J1""",1
"""Q13257""",21
"""O60783""",12
"""Q9NRD1""",10
"""Q9H255""",1
"""P53778""",5
"""Q6NUI2""",2
"""Q08117""",1
"""P40692""",7
"""P22532""",4
"""P21854""",1
"""Q7L3B6""",1
"""Q5VVJ2""",1
"""Q9BZD2""",2
"""O14578""",6
"""P05112""",6
"""Q09028""",25
"""Q6UWZ7""",10
"""P32302""",4
"""P01127""",29
"""O60678""",1
"""P02647""",41
"""P52732""",4
"""Q9UBV2""",14
"""P68106""",1
"""P02533""",3
"""O43924""",3
"""Q9UBK2""",9
"""Q8TEH3""",3
"""P16402""",3
"""P10828""",1
"""Q96SR6""",1
"""Q01658""",1
"""P61086""",4
"""P62310""",5
"""Q9UPT5""",1
"""Q9UIK4""",1
"""B2RTY4""",1
"""Q9UJ68""",1
"""O75807""",4
"""P31327""",1
"""Q7Z3V5""",1
"""P09471""",13
"""P22792""",1
"""Q5JTC6""",12
"""Q9H5I1""",1
"""Q9Y385""",3
"""Q53ZZ1""",1
"""Q12756""",3
"""Q09160""",16
"""P42566""",27
"""Q9HC62""",3
"""Q6IS24""",1
"""Q8NH02""",1
"""P41180""",7
"""P0CG04""",43
"""P03891""",6
"""P06401""",2
"""P08620""",151
"""P21941""",1
"""O60921""",11
"""P54840""",8
"""O60234""",2
"""Q92529""",7
"""O43615""",6
"""Q49B96""",1
"""Q8TDF6""",2
"""Q9BVC4""",20
"""P60604""",5
"""Q13490""",21
"""P43304""",1
"""P53355""",1
"""Q8IWL3""",4
"""Q14240""",13
"""Q9UP38""",14
"""P53985""",4
"""P30154""",53
"""P07099""",1
"""P51460""",4
"""Q9UM11""",23
"""O75494""",1
"""P13535""",4
"""Q9H477""",1
"""Q969J5""",2
"""P17676""",6
"""Q8WYH8""",6
"""P15259""",2
"""P17535""",1
"""Q8WWY3""",2
"""Q6ZMR3""",2
"""O95013""",1
"""Q9UM47""",29
"""P62879""",74
"""Q8IUR7""",2
"""Q3SY69""",1
"""Q9Y3V2""",1
"""Q9Y6K8""",2
"""P09936""",1
"""Q9Y3I1""",9
"""O60765""",1
"""Q9NPC1""",4
"""P01100""",7
"""Q15323""",3
"""Q29983""",1
"""Q13889""",79
"""Q16864""",4
"""P55157""",3
"""P10915""",1
"""O43345""",1
"""O43324""",10
"""Q9BQG2""",1
"""Q6P4A8""",5
"""O14920""",27
"""Q92888""",5
"""Q9BX82""",1
"""Q9NWB7""",5
"""Q3I5F7""",1
"""O60333""",3
"""O94804""",1
"""Q96RU7""",3
"""Q09328""",1
"""P16519""",1
"""Q86XK2""",9
"""Q99551""",1
"""O75083""",1
"""P60022""",2
"""Q02318""",13
"""P54132""",24
"""Q9BTX1""",35
"""O14929""",1
"""Q9BW83""",5
"""P43403""",7
"""Q96CV9""",4
"""Q969X2""",1
"""Q969M2""",1
"""P07864""",2
"""P30559""",4
"""Q8IZU8""",1
"""P14618""",3
"""Q9P2P5""",3
"""P47211""",4
"""O75593""",1
"""Q12879""",14
"""P51553""",2
"""P40938""",62
"""Q9H3S1""",1
"""P58012""",1
"""Q9H3H1""",2
"""O75452""",2
"""Q86X67""",1
"""Q3ZCX4""",1
"""Q9H3R5""",15
"""Q14162""",1
"""Q96NG5""",1
"""P16083""",1
"""P62136""",5
"""P57772""",3
"""Q8IWV7""",3
"""P25929""",4
"""Q8IVS2""",1
"""P83436""",6
"""O75962""",9
"""Q9Y5W5""",2
"""O15514""",122
"""P47897""",11
"""P34949""",1
"""Q8NEZ4""",11
"""Q9NZI2""",1
"""Q9H0S4""",1
"""Q8WY07""",1
"""P01282""",4
"""P28066""",6
"""Q9BZE1""",10
"""Q92805""",2
"""P49366""",2
"""Q5NV66""",35
"""P23467""",2
"""Q16822""",1
"""Q9NXX6""",1
"""P04437""",17
"""Q96EL3""",10
"""Q07817""",2
"""O43933""",2
"""O43927""",4
"""P14207""",2
"""Q4KMG0""",9
"""P35321""",4
"""Q9BYD6""",10
"""P60891""",2
"""P31150""",20
"""Q8NGD2""",1
"""Q96C86""",1
"""Q8IYJ0""",1
"""Q02386""",1
"""O00391""",4
"""P26010""",2
"""P30466""",16
"""Q02080""",2
"""P07942""",18
"""P51580""",1
"""P25311""",1
"""Q9NTJ4""",1
"""P50225""",6
"""P62495""",7
"""Q9UHI7""",1
"""Q30134""",31
"""Q05901""",4
"""P17661""",4
"""Q9UGQ2""",1
"""P42575""",4
"""P35030""",2
"""O75665""",22
"""Q96PS8""",6
"""Q96G61""",4
"""O95445""",1
"""Q12837""",1
"""Q15620""",1
"""Q9HAT1""",11
"""P18405""",1
"""Q86Y39""",7
"""P54105""",1
"""Q15125""",2
"""Q8IVU3""",3
"""P82650""",12
"""Q15119""",2
"""Q96A46""",1
"""Q9HCG7""",1
"""Q9HCE6""",3
"""Q16531""",34
"""Q8NER1""",1
"""Q9H9S4""",2
"""Q9UL12""",1
"""Q08881""",7
"""Q13224""",19
"""O95154""",1
"""O95835""",9
"""P48065""",2
"""Q9P2J3""",6
"""Q14765""",3
"""P49585""",1
"""Q56NI9""",2
"""P48059""",2
"""Q7LDG7""",3
"""P01375""",21
"""P04350""",34
"""P69905""",7
"""O43516""",5
"""Q9NYV4""",3
"""P57739""",1
"""Q01064""",4
"""P01891""",16
"""Q8NDQ6""",1
"""Q9BSD3""",10
"""P14921""",2
"""P84077""",23
"""Q5TB80""",8
"""Q9NP81""",1
"""Q7Z628""",3
"""Q9P258""",13
"""O60645""",1
"""O43174""",2
"""P20774""",7
"""Q96S52""",1
"""P22415""",1
"""Q92613""",1
"""Q6W5P4""",7
"""P42830""",4
"""P05771""",15
"""P30685""",16
"""Q8NBS9""",6
"""Q99062""",2
"""Q01433""",1
"""P05109""",4
"""A6NFC9""",1
"""P30679""",25
"""P51793""",1
"""P63272""",41
"""P52849""",2
"""Q10588""",3
"""Q9UQ16""",13
"""Q6IA69""",1
"""P35243""",2
"""Q12864""",2
"""P22894""",7
"""Q9UBK5""",1
"""P27815""",2
"""P29353""",109
"""Q9UBU9""",11
"""Q9Y487""",4
"""Q11203""",4
"""P51178""",1
"""Q96R47""",1
"""O94788""",1
"""O95352""",17
"""Q13614""",13
"""Q86X52""",2
"""O95544""",1
"""Q9Y2T2""",1
"""Q99758""",1
"""Q01469""",7
"""O75077""",4
"""Q8N1W1""",2
"""Q9Y2I2""",1
"""Q13608""",2
"""P15529""",4
"""Q8TDD5""",1
"""O00203""",9
"""Q8TCX5""",2
"""P16389""",1
"""Q04609""",1
"""Q8WU17""",2
"""O00499""",10
"""Q8NGI0""",1
"""Q9HC23""",4
"""P63173""",20
"""Q9UNH5""",4
"""Q8IWJ2""",3
"""P51688""",2
"""Q05823""",1
"""P55058""",1
"""P63167""",49
"""P00734""",24
"""P49798""",2
"""P01594""",43
"""Q13509""",12
"""Q15047""",2
"""P48023""",10
"""O43543""",9
"""Q8NGI9""",1
"""Q15583""",1
"""O00754""",2
"""Q8NFH5""",35
"""Q9BU02""",1
"""P11172""",2
"""Q9NQZ5""",1
"""Q9Y6T7""",1
"""O60858""",2
"""O15498""",18
"""P98066""",2
"""O43252""",9
"""Q14738""",41
"""Q9H1K0""",3
"""Q9BRG1""",2
"""Q9BYZ6""",5
"""Q96L50""",6
"""Q92681""",3
"""O15217""",1
"""Q96DU3""",2
"""P31321""",5
"""Q9NX76""",2
"""P05177""",13
"""O15399""",14
"""O75791""",29
"""Q9H6A0""",1
"""Q9UQD0""",2
"""Q96T66""",1
"""Q99650""",3
"""Q8WTT0""",4
"""P41226""",9
"""Q68CP4""",2
"""O95757""",5
"""P53667""",8
"""Q9BV90""",5
"""Q99836""",56
"""Q7L7L0""",14
"""Q9UBQ7""",1
"""P55085""",4
"""P17031""",1
"""P24462""",3
"""Q92520""",1
"""Q16651""",1
"""P51787""",2
"""O00292""",4
"""Q9HBZ2""",5
"""Q9UGH3""",1
"""Q8NA42""",1
"""Q9Y274""",3
"""Q9UIF9""",2
"""P48050""",2
"""Q6NXG1""",6
"""Q13416""",20
"""P49591""",2
"""Q8N2W9""",32
"""P67812""",4
"""Q16666""",2
"""Q15796""",45
"""Q8N140""",1
"""Q15005""",4
"""Q9NYW0""",4
"""Q8NGR8""",1
"""Q8NGE7""",1
"""P78364""",9
"""P78385""",3
"""Q9NRB3""",1
"""Q5TZ20""",1
"""O75380""",4
"""Q8N149""",1
"""P15151""",3
"""Q9BZM4""",1
"""P16671""",25
"""P05090""",1
"""Q9NYB5""",1
"""Q9NYL9""",4
"""P51970""",7
"""Q5W064""",1
"""P11166""",6
"""P13385""",5
"""P30550""",4
"""Q6UWM9""",1
"""P07360""",7
"""Q9UJ41""",2
"""P35414""",4
"""Q96JK2""",5
"""P17931""",3
"""Q99743""",18
"""O95169""",10
"""A6NM76""",1
"""Q96CW5""",3
"""P0DMV9""",19
"""Q7Z5G4""",1
"""A6NF89""",1
"""O00401""",22
"""Q86TS9""",10
"""P26951""",20
"""Q9HDD0""",1
"""Q2QD12""",2
"""O75899""",5
"""Q9H6U8""",2
"""Q13635""",7
"""Q9H633""",1
"""Q9UHE5""",1
"""P48449""",1
"""Q86YT9""",1
"""Q96PQ7""",6
"""Q96Q27""",8
"""Q99638""",11
"""P62328""",1
"""P54219""",1
"""A0AVI4""",1
"""Q5T2D3""",2
"""Q8IY34""",1
"""P49189""",1
"""O15520""",76
"""Q8NHP6""",1
"""O60870""",1
"""Q8NGY6""",1
"""P00749""",8
"""Q9GZZ9""",2
"""A8MVX0""",3
"""Q5T7P3""",2
"""Q9P2S2""",11
"""P13640""",2
"""P15172""",2
"""Q86V81""",21
"""Q92993""",72
"""Q9BS31""",1
"""Q9BU23""",1
"""Q8TBG4""",1
"""P04629""",31
"""Q9NZ53""",1
"""O60879""",5
"""Q8NEP9""",1
"""Q9NSC7""",1
"""Q9UKJ0""",1
"""Q9NRW7""",2
"""Q9NS87""",4
"""Q92186""",3
"""Q9NYS7""",5
"""Q9UKT4""",7
"""P31513""",1
"""Q9NP60""",1
"""P06239""",62
"""Q96T51""",3
"""Q96SI1""",1
"""P27539""",4
"""Q9H171""",8
"""P23368""",1
"""Q9BXN2""",4
"""Q8WVQ1""",3
"""O75161""",4
"""P28072""",4
"""Q13011""",2
"""Q92696""",6
"""A9QM74""",1
"""O43318""",28
"""Q9BZW8""",1
"""P05198""",13
"""Q01718""",4
"""P55283""",8
"""Q8IUC6""",35
"""P08833""",2
"""Q9BQ95""",6
"""Q96CS3""",1
"""P43007""",4
"""Q9UK55""",1
"""Q5HYK7""",1
"""Q10567""",14
"""Q9Y4W6""",2
"""Q9UPY5""",2
"""P54252""",5
"""Q9UJ14""",2
"""O94887""",4
"""O75197""",12
"""P35222""",50
"""Q9UBS8""",3
"""Q07157""",5
"""O60573""",2
"""P35408""",4
"""Q8WV16""",5
"""Q8WV37""",1
"""O75056""",24
"""P21452""",4
"""P35398""",6
"""O14842""",6
"""O00478""",1
"""Q5MNZ6""",1
"""Q8NGQ3""",1
"""P08697""",2
"""Q9Y2C9""",19
"""P63146""",9
"""Q8NGF3""",1
"""Q9NUN5""",1
"""Q9Y289""",3
"""Q17RS7""",1
"""P59646""",1
"""P00167""",2
"""O15118""",1
"""P46527""",22
"""O60942""",12
"""P78556""",4
"""O43663""",1
"""P01567""",13
"""P22681""",71
"""Q8NGG8""",1
"""Q9BUY5""",1
"""Q5H9S7""",5
"""Q9BTM1""",68
"""Q6UWN5""",1
"""Q5TEU4""",5
"""Q9Y6M0""",1
"""Q3L8U1""",1
"""Q7Z6J0""",3
"""Q9P2E5""",1
"""P22607""",61
"""P35612""",1
"""Q9BZ95""",5
"""P35606""",11
"""P51991""",8
"""Q86UK5""",3
"""Q14957""",14
"""P42356""",2
"""Q6ZMT4""",9
"""P05156""",10
"""P52735""",39
"""P59190""",2
"""Q13620""",34
"""O94986""",22
"""Q7Z6J9""",1
"""Q9UK13""",1
"""P09651""",9
"""P84098""",20
"""Q9H1I8""",6
"""Q99623""",2
"""Q9Y4H4""",1
"""Q8WVP5""",1
"""Q8WVZ9""",7
"""Q9H0R8""",6
"""P55199""",29
"""Q96DI7""",9
"""P55064""",2
"""Q9HCZ1""",1
"""Q16630""",8
"""Q04656""",2
"""P00740""",7
"""Q7LG56""",2
"""P46059""",1
"""Q9Y2L8""",1
"""Q5TA81""",2
"""Q9Y253""",13
"""Q8N488""",2
"""O43741""",20
"""O60240""",3
"""Q643R3""",9
"""Q99518""",1
"""Q9BTZ2""",3
"""P18510""",1
"""Q8NHG7""",2
"""O14836""",1
"""P31939""",2
"""P24390""",9
"""Q9NSB2""",3
"""Q8NGN6""",1
"""P25800""",2
"""P0C645""",1
"""Q8N8Q9""",1
"""Q3KQV3""",1
"""O75473""",3
"""P21815""",2
"""Q9BTP7""",10
"""P17655""",4
"""Q9H342""",1
"""Q9BTE7""",11
"""Q86WA8""",3
"""Q93077""",86
"""Q86VI3""",4
"""P42263""",12
"""Q86W47""",2
"""P36544""",2
"""P25815""",1
"""Q9NYJ8""",28
"""Q9UJS0""",2
"""P52948""",48
"""P51589""",8
"""P15088""",1
"""Q9NR11""",1
"""O75182""",13
"""Q9H9H4""",5
"""Q13905""",6
"""Q9Y6I7""",8
"""O95622""",18
"""Q9P0K1""",4
"""Q14573""",7
"""Q8WV22""",1
"""Q8TED4""",1
"""Q15629""",2
"""Q9H237""",2
"""Q5NV87""",35
"""P19634""",2
"""Q9H867""",1
"""Q16348""",1
"""Q6ZT98""",1
"""P01703""",43
"""Q9Y466""",2
"""Q14588""",1
"""Q8N587""",1
"""P00338""",2
"""P02749""",1
"""Q6P9A3""",1
"""Q6MZZ7""",1
"""Q8NGS4""",1
"""P10909""",7
"""P23743""",1
"""Q9BY07""",1
"""P30493""",16
"""Q8NFZ3""",7
"""P30487""",16
"""P39086""",4
"""Q8NHX9""",1
"""P34982""",1
"""Q969V1""",7
"""P02458""",15
"""P13073""",1
"""Q5SW96""",16
"""P03999""",7
"""P08047""",19
"""Q6SZW1""",5
"""P22888""",4
"""P35237""",4
"""P0DI81""",5
"""Q86UU0""",3
"""P61371""",1
"""Q9BUE6""",1
"""P62891""",20
"""P22087""",2
"""Q92966""",12
"""Q8TC07""",1
"""Q6IQ20""",1
"""P07858""",7
"""Q8TAX7""",14
"""Q8IWT6""",1
"""P33992""",15
"""Q9UL33""",5
"""Q9UKR3""",2
"""Q7Z6V5""",1
"""Q9Y5V0""",1
"""O00187""",8
"""Q9HB03""",4
"""Q9UN19""",1
"""Q13131""",14
"""O95721""",2
"""O75467""",1
"""P43897""",2
"""Q96EK7""",1
"""P38571""",1
"""O95907""",4
"""P61266""",2
"""O00562""",1
"""Q15391""",4
"""Q9Y3B3""",9
"""Q6PCB7""",1
"""O43861""",2
"""Q8NCE2""",3
